Item SKU,Item Name,Item Description (short),Item UOM,Physical Quantity (Good),Physical Quantity (Damaged),Quantity on-hold
M-405246x6,Merries Walker Pants Jumbo L27s x 6 packs (9 - 14 kg),Merries Walker Pants is designed,PIECES,477,0,0
M-405241x4,Merries Tape Diapers S54s x 4 packs (4 - 8 kg),New and improved Merries Tape,PIECES,452,0,0
M-278148x3,Merries Walker Pants Super Jumbo XXL26s x 3 packs (15 - 28 kg),Merries Walker Pants is designed,PIECES,485,0,1
M-405240x4,Merries Tape Diapers NB60s x 4 packs (<5 kg),New and improved Merries Tape,PIECES,655,0,0
M-405242x4,Merries Tape Diapers M64s x 4 packs (6 - 11 kg),New and improved Merries Tape,PIECES,1674,0,2
M-405244x4,Merries Tape Diapers XL44s x 4 packs (12 - 20 kg),New and improved Merries Tape,PIECES,2582,0,4
M-405243x4,Merries Tape Diapers L54s x 4 packs (9 - 14 kg),New and improved Merries Tape,PIECES,1901,0,0
M-278150X3,Merries Walker Pants Super Jumbo XL38s x 3 packs (12 - 22 kg),Merries Walker Pants is designed,PIECES,3065,0,6
M-278149X3,Merries Walker Pants Super Jumbo L44s x 3 packs (9 - 14 kg),Merries Walker Pants is designed,PIECES,1944,0,0
M-405245x6,Merries Walker Pants Jumbo M33s x 6 packs (6 - 11 kg),Merries Walker Pants is designed,PIECES,659,0,1
